direction,rep,final_action_acc,final_sequence_acc,target_policy_acc
t2f,0,0.4583333333333333,0.125,0.4166666666666667
t2f,1,0.4583333333333333,0.0,0.4583333333333333
t2f,2,0.4166666666666667,0.0,0.4166666666666667
t2f,3,0.5416666666666666,0.125,0.5416666666666666
f2t,0,0.5416666666666666,0.125,0.5416666666666666
f2t,1,0.5833333333333334,0.125,0.5833333333333334
f2t,2,0.4583333333333333,0.125,0.4583333333333333
f2t,3,0.375,0.0,0.375
