direction,condition,n,steps,mean_local_states,decision_states,mean_queried_decision_states,final_action,final_sequence,cp128_action,cp128_sequence,cp256_action,cp256_sequence
f2t,grounded_culture,6,512,65.33333333333333,48.0,21.833333333333332,1.0,1.0,0.78125,0.1875,0.9652777777777778,0.8333333333333334
f2t,query_only_no_packet,6,512,65.33333333333333,48.0,21.833333333333332,0.5729166666666666,0.041666666666666664,0.5590277777777778,0.041666666666666664,0.576388888888889,0.041666666666666664
f2t,ungrounded_identity,6,512,65.33333333333333,48.0,0.0,0.24652777777777776,0.0,0.2604166666666667,0.0,0.23611111111111108,0.0
t2f,grounded_culture,6,1024,67.66666666666667,48.0,22.0,0.9965277777777777,0.9791666666666666,0.576388888888889,0.041666666666666664,0.7534722222222222,0.1875
t2f,query_only_no_packet,6,1024,67.66666666666667,48.0,22.0,0.6284722222222222,0.020833333333333332,0.5069444444444444,0.020833333333333332,0.6284722222222222,0.020833333333333332
t2f,ungrounded_identity,6,1024,67.66666666666667,48.0,0.0,0.2118055555555555,0.0,0.23263888888888887,0.0,0.22222222222222218,0.0
