direction,rep,condition,ground_action,ground_sequence,ground_role,queries,final_action,final_sequence,cp128_a,cp128_s,cp256_a,cp256_s
t2f,0,grounded_culture,1.0,1.0,1.0,36,1.0,1.0,0.4791666666666667,0.0,0.7083333333333334,0.125
t2f,0,query_only_no_packet,,,,36,0.5833333333333334,0.0,0.3333333333333333,0.0,0.5625,0.0
t2f,0,ungrounded_identity,,,,0,0.2708333333333333,0.0,0.2916666666666667,0.0,0.2916666666666667,0.0
t2f,1,grounded_culture,1.0,1.0,1.0,36,1.0,1.0,0.5416666666666666,0.0,0.7916666666666666,0.125
t2f,1,query_only_no_packet,,,,36,0.6041666666666666,0.125,0.4791666666666667,0.0,0.5625,0.0
t2f,1,ungrounded_identity,,,,0,0.20833333333333334,0.0,0.16666666666666666,0.0,0.22916666666666666,0.0
t2f,2,grounded_culture,1.0,1.0,1.0,36,0.9791666666666666,0.875,0.7083333333333334,0.25,0.875,0.375
t2f,2,query_only_no_packet,,,,36,0.6458333333333334,0.0,0.625,0.125,0.7083333333333334,0.0
t2f,2,ungrounded_identity,,,,0,0.22916666666666666,0.0,0.2708333333333333,0.0,0.22916666666666666,0.0
