direction,rep,condition,ground_action,ground_sequence,ground_role,queries,final_action,final_sequence,cp128_a,cp128_s,cp256_a,cp256_s
t2f,3,grounded_culture,1.0,1.0,1.0,36,1.0,1.0,0.5416666666666666,0.0,0.7291666666666666,0.125
t2f,3,query_only_no_packet,,,,36,0.625,0.0,0.5416666666666666,0.0,0.6041666666666666,0.0
t2f,3,ungrounded_identity,,,,0,0.14583333333333334,0.0,0.14583333333333334,0.0,0.16666666666666666,0.0
t2f,4,grounded_culture,1.0,1.0,1.0,36,1.0,1.0,0.5625,0.0,0.6875,0.125
t2f,4,query_only_no_packet,,,,36,0.7083333333333334,0.0,0.5,0.0,0.7291666666666666,0.125
t2f,4,ungrounded_identity,,,,0,0.20833333333333334,0.0,0.20833333333333334,0.0,0.1875,0.0
t2f,5,grounded_culture,1.0,1.0,1.0,36,1.0,1.0,0.625,0.0,0.7291666666666666,0.25
t2f,5,query_only_no_packet,,,,36,0.6041666666666666,0.0,0.5625,0.0,0.6041666666666666,0.0
t2f,5,ungrounded_identity,,,,0,0.20833333333333334,0.0,0.3125,0.0,0.22916666666666666,0.0
