direction,rep,condition,ground_action,ground_sequence,ground_role,queries,final_action,final_sequence,cp128_a,cp128_s,cp256_a,cp256_s
f2t,0,grounded_culture,1.0,1.0,1.0,36,1.0,1.0,0.75,0.125,0.9583333333333334,0.75
f2t,0,query_only_no_packet,,,,36,0.5833333333333334,0.125,0.5833333333333334,0.125,0.5833333333333334,0.125
f2t,0,ungrounded_identity,,,,0,0.25,0.0,0.25,0.0,0.20833333333333334,0.0
f2t,1,grounded_culture,1.0,1.0,1.0,36,1.0,1.0,0.8125,0.25,0.9791666666666666,0.875
f2t,1,query_only_no_packet,,,,36,0.6458333333333334,0.125,0.6458333333333334,0.125,0.6458333333333334,0.125
f2t,1,ungrounded_identity,,,,0,0.2708333333333333,0.0,0.2916666666666667,0.0,0.2708333333333333,0.0
f2t,2,grounded_culture,1.0,1.0,1.0,36,1.0,1.0,0.7916666666666666,0.25,0.9791666666666666,0.875
f2t,2,query_only_no_packet,,,,36,0.5,0.0,0.5,0.0,0.5208333333333334,0.0
f2t,2,ungrounded_identity,,,,0,0.1875,0.0,0.22916666666666666,0.0,0.16666666666666666,0.0
