variant,postculture_action_accuracy,postculture_sequence_success,auc_action_accuracy,auc_sequence_success,final_action_accuracy,final_sequence_success
scratch,0.4791666666666667,0.0625,0.6536458333333334,0.2799479166666667,0.7916666666666665,0.4791666666666667
culture,0.7430555555555555,0.4791666666666667,0.8420138888888888,0.60546875,0.9652777777777778,0.8958333333333334
wrong_culture,0.23611111111111113,0.0,0.634548611111111,0.23177083333333334,0.8263888888888888,0.5625
