direction,n,mean_ground_action,mean_ground_sequence,mean_final_action,mean_final_sequence,perfect
t2f,12,1.0,1.0,0.8680555555555555,0.6666666666666666,0
f2t,12,1.0,1.0,1.0,1.0,12
