direction,metric,comparison,mean_delta,ci95_low,ci95_high,n_pairs
t2f,final_action,grounded_culture - query_only_no_packet,0.1354166666666667,0.10763888888888891,0.1631944444444445,12
t2f,final_sequence,grounded_culture - query_only_no_packet,0.3125,0.23958333333333334,0.3854166666666667,12
t2f,final_action,grounded_culture - ungrounded_identity,0.4131944444444444,0.3680555555555556,0.4618055555555556,12
t2f,final_sequence,grounded_culture - ungrounded_identity,0.78125,0.7083333333333334,0.8541666666666666,12
f2t,final_action,grounded_culture - query_only_no_packet,0.11458333333333333,0.08680555555555558,0.14930555555555555,12
f2t,final_sequence,grounded_culture - query_only_no_packet,0.2604166666666667,0.21875,0.3020833333333333,12
f2t,final_action,grounded_culture - ungrounded_identity,0.513888888888889,0.4583333333333333,0.5694444444444444,12
f2t,final_sequence,grounded_culture - ungrounded_identity,0.8229166666666666,0.7395833333333334,0.8958333333333334,12
