teacher,budget,rep,policy_acc,sequence_acc,alive_swaps,candidate_edges
transformer,6,39,0.625,0.125,2,92
transformer,6,40,0.5833333333333334,0.25,2,92
transformer,6,41,0.7083333333333334,0.5,2,92
transformer,6,42,0.5833333333333334,0.125,2,92
transformer,6,43,0.6666666666666666,0.375,2,92
transformer,6,44,0.75,0.375,2,92
transformer,6,45,0.75,0.375,2,92
transformer,6,46,0.7083333333333334,0.5,2,92
transformer,6,47,0.7083333333333334,0.375,2,92
transformer,6,48,0.7083333333333334,0.5,2,92
transformer,6,49,0.75,0.5,2,88
transformer,6,50,0.7083333333333334,0.5,2,92
transformer,6,51,0.625,0.25,2,92
transformer,6,52,0.6666666666666666,0.375,2,92
transformer,6,53,0.5833333333333334,0.125,2,92
transformer,6,54,0.625,0.125,2,92
transformer,6,55,0.75,0.375,2,92
transformer,6,56,0.6666666666666666,0.375,2,92
transformer,6,57,0.625,0.25,2,92
transformer,6,58,0.7083333333333334,0.5,2,92
transformer,6,59,0.5833333333333334,0.125,2,92
transformer,6,60,0.75,0.5,2,88
transformer,6,61,0.7083333333333334,0.5,2,92
transformer,6,62,0.8333333333333334,0.5,2,88
transformer,6,63,0.6666666666666666,0.5,2,92
transformer,6,64,0.6666666666666666,0.375,2,92
transformer,6,65,0.5833333333333334,0.125,2,92
transformer,6,66,0.7083333333333334,0.375,2,92
transformer,6,67,0.8333333333333334,0.5,2,92
transformer,6,68,0.7083333333333334,0.25,2,92
transformer,6,69,0.75,0.375,2,92
transformer,6,70,0.6666666666666666,0.375,2,92
transformer,6,71,0.625,0.25,2,92
transformer,6,72,0.8333333333333334,0.5,2,88
transformer,6,73,0.7083333333333334,0.375,2,92
transformer,6,74,0.6666666666666666,0.375,2,92
transformer,6,75,0.75,0.5,2,88
transformer,6,76,0.7083333333333334,0.375,2,92
transformer,6,77,0.7083333333333334,0.5,2,92
transformer,6,78,0.75,0.5,2,92
transformer,6,79,0.75,0.375,2,92
transformer,6,80,0.75,0.375,2,92
transformer,6,81,0.7083333333333334,0.5,2,92
transformer,6,82,0.7083333333333334,0.375,2,92
transformer,6,83,0.7083333333333334,0.5,2,92
transformer,6,84,0.7083333333333334,0.375,2,92
transformer,6,85,0.625,0.25,2,92
transformer,6,86,0.6666666666666666,0.375,2,92
transformer,6,87,0.6666666666666666,0.375,2,92
transformer,6,88,0.6666666666666666,0.375,2,92
transformer,6,89,0.6666666666666666,0.375,2,92
transformer,6,90,0.7083333333333334,0.5,2,92
transformer,6,91,0.6666666666666666,0.375,2,92
transformer,6,92,0.7083333333333334,0.375,2,92
transformer,6,93,0.5833333333333334,0.25,2,92
