direction,condition,n,mean_ground_action,mean_ground_sequence,mean_final_action,mean_final_sequence,perfect_replicates
f2t,grounded_culture,12,1.0,1.0,1.0,1.0,12
f2t,query_only_no_packet,12,,,0.8854166666666665,0.7395833333333334,0
f2t,ungrounded_identity,12,0.48611111111111116,0.17708333333333334,0.48611111111111116,0.17708333333333334,0
t2f,grounded_culture,12,1.0,1.0,0.9861111111111112,0.9583333333333334,9
t2f,query_only_no_packet,12,,,0.8506944444444445,0.6458333333333334,0
t2f,ungrounded_identity,12,0.5694444444444445,0.17708333333333334,0.5729166666666667,0.17708333333333334,0
